market_title,site,number,menu,work_hours,price_range,address,category,image,latitude,longitude,tags
온지음레스토랑,https://www.instagram.com/onjium_restaurant/,02-6952-0024 ,"점심코스(22만원), 저녁코스(22만원)",12:00~15:00/18:00~22:00(마지막 주문 20:00) ,15~25만원대,서울특별시 종로구 창성동 17-1 온지음,"한식(일반한식), 모던한식",restaurant_pics/온지음레스토랑.jpg,37.5804948296674,126.9733908253081,
권숙수,https://www.instagram.com/kwonsooksoo/,02-542-6268 ,"점심미식상(홀 18만원대, 룸 21만원대, 주말&공휴일 21만원대), 저녁미식상(29만원대)",12:00~15:00/18:00~22:00(마지막 주문 20:30) ,15~25만원대,서울특별시 강남구 청담동 92-18 이에스빌딩,"한식(일반한식), 모던한식",restaurant_pics/권숙수.jpg,37.524328,127.043571,
비스트로드욘트빌,https://www.instagram.com/yountvillebistro/,02-541-1550,"런치코스(6만5천원, 9만5천원), 디너코스(11만원, 13만원)",11:30~15:00(마지막 주문 13:30)/18:00~22:00(마지막 주문 20:00) ,10~15만원대,서울특별시 강남구 청담동 83-6,프랑스식,restaurant_pics/비스트로드욘트빌.jpg,37.526,127.0412,
레스쁘아뒤이부,https://www.instagram.com/lespoirduhibou/,02-517-6034 ,"코스요리(8만5천원~18만원), 푸아그라사과, 무화과쳐트니와피스타치오(5만5천원), 한우홍두께살타르타르(3만2천원), 어니언수비즈리조토(5만2천원), 마리네이드해양갈비(6만8천원)",12:00~15:00/18:00~22:00 ,10~15만원대,서울특별시 강남구 청담동 90-25,프랑스식,restaurant_pics/레스쁘아뒤이부.jpg,37.52579,127.0404,
톡톡,https://www.instagram.com/toctoc_seoul/,02-542-3030,"평일런치코스(8만원), 주말런치코스(11만원), 디너코스(15만원)",12:00~15:00(마지막 주문 14:00)/18:00~22:00(마지막 주문 20:30) ,15~25만원대,서울특별시 강남구 청담동 69-5 리유빌딩,프랑스식,restaurant_pics/톡톡.jpg,37.522410597151854,127.05431282319448,
무오키,https://www.instagram.com/muoki.seoul/,010-2948-4171,"런치코스(13만원), 디너코스(23만원)",12:00~15:00/18:00~22:00 ,15~25만원대,서울특별시 강남구 청담동 38-4,"컨템포러리, 프랑스식",restaurant_pics/무오키.jpg,37.518997,127.042238,
백리향,,02-789-5741 ,"코스(14만9천원~39만원), 주중런치스페셜(12만원대~25만원), 오향장우육(소인 6만원, 대인 9만8천원), 랍스타특선냉채(5만원), 자연송이와제비집(11만원대), 게살제비집수프(10만원), 송이해삼(소인 17만원, 대인 25만원)",11:30~15:00/17:30~22:00 ,15~25만원대,서울특별시 영등포구 여의도동 60 63한화생명빌딩,"중식, 일반중식",restaurant_pics/백리향.jpg,37.51982,126.9399,
파씨오네,,02-546-7719,"런치코스(6만5천원), 디너코스(11만원)",12:00~15:00(마지막 주문 13:30)/18:00~22:00(마지막 주문 20:00) | 토요일 12:00~15:30(마지막 주문 13:30)/18:00~21:30 (마지막 주문 19:30) ,10~15만원대,서울특별시 강남구 신사동 646-23,프랑스식,restaurant_pics/파씨오네.jpg,37.52542,127.0367,
테이블포포,https://www.instagram.com/table_for_four_/),02-3478-0717,"런치코스(8만원), 디너코스(15만원)",12:00~15:00/18:00~22:00 ,15~25만원대,서울특별시 서초구 반포동 110-1 명빌딩,이탈리아식,restaurant_pics/테이블포포.jpg,37.49769,126.9944,
봉래헌,,02-2660-9020,"점심상차림(6만5천원), 코스(10만원~30만원)",11:30~14:30/18:00~21:30 ,10~15만원대,서울특별시 강서구 외발산동 426 메이필드호텔,"한식(일반한식), 한정식",restaurant_pics/봉래헌.jpg,37.54683,126.8186,한옥맛집
낙원,https://www.instagram.com/mayfield_hotel/,02-2660-9010,"특생대대갈비, 특양념대갈비(270g 각 15만원), 한우꽃등심(130g 9만5천원), 한우등심불고기(200g 5만5천원), 한우양념갈비구이정식(200g 9만8천원), 낙지볶음(5만원), 해물파전(3만5천원)",11:30~14:30(마지막 주문 13:30)/17:30~21:30(마지막 주문 20:30) ,15~25만원대,서울특별시 강서구 외발산동 426 메이필드호텔,"한식(육류), 소고기구이, 소갈비",restaurant_pics/낙원.jpg,37.54683,126.8186,한옥맛집
홍보각,https://www.instagram.com/hongbogak_official/,02-531-6479,"런치세트(10만원~24만원), 디너세트(13만원~45만원), 고법불도장(13만원), 모자새우(소 8만원, 대 12만원), 한알탕수육(소 4만8천원, 대 7만원), 특선냉채(2만8천원), 셰프특선수프(3만8천원), 셰프스페셜송이특찜(15만원)",12:00~15:00/18:00~21:30(마지막 주문 20:00) ,10~15만원대,서울특별시 강남구 역삼동 603 노보텔 앰배서더 강남 서울,"중식, 일반중식",restaurant_pics/홍보각.jpg,37.5052805568865,127.028919391781,
기가스,https://www.instagram.com/gigas_seoul/,02-3448-9929,"디너코스(22만원), 와인페어링(5잔 16만원, 6잔 18만원)",18:00~22:30 ,15~25만원대,서울특별시 강남구 신사동 651-6,"유럽식, 지중해식, 스페인식",restaurant_pics/기가스.jpg,37.5230671928548,127.036387716609,핫플맛집
이레옥,,051-742-6421  ,"곰탕(1만6천원, 특 1만9천원), 양곰탕(1만8천원, 특 2만1천원), 특섞어곰탕(2만2천원), 수육(중 7만원, 특 8만원)",24시간 영업 ,1~2만원대,부산광역시 해운대구 우동 1436-1 더샵해운대아델리스,"한식(탕/국/찌개/전골), 곰탕, 한식(육류), 수육",restaurant_pics/이레옥.jpg,35.154195,129.146306,오션뷰
주은,https://www.instagram.com/jueun_restaurant,02-540-8580,"점심코스(15만원), 저녁코스(25만원)","18:00~22:00 | 목, 금, 토요일 12:00~15:00/18:00~22:00 ",25만원 이상,서울특별시 종로구 신문로2가 1-102,"한식(일반한식), 모던한식",restaurant_pics/주은.jpg,37.5729199136655,126.970063182815,핫플맛집
메종루블랑,https://www.instagram.com/maison_loupblanc/,070-8849-2040,"수비드삼겹살(250g 2만6천원), 채끝등심스테이크(300g 5만원), 오리꽁피와야생버섯소스(2만7천원), 와규라구스파게티(2만3천원), 모렐버섯리조토(2만6천원), 비스크소스뇨키(2만3천원)",11:30~14:00/17:00~22:00 ,5~10만원대,서울특별시 용산구 한강로3가 40-159,"바/주점, 프렌치비스트로, 프랑스식",restaurant_pics/메종루블랑.jpg,37.5256854191743,126.96275666622,
서령,https://www.instagram.com/seoryeong_official/,032-937-8774  ,"평양냉면, 비빔냉면, 들기름냉면(각 1만5천원), 수제찐만두(1만원), 항정살돼지수육(100g 1만7천원, 200g 3만2천원), ",10:30~16:00(마지막 주문 15:30) ,1~2만원대,인천광역시 강화군 길상면 선두리 734 팔복식당,"한식(면류), 평양냉면",restaurant_pics/서령.jpg,37.6222079894992,126.47976700447,
크레미엘,,070-8260-3855,"크루아상, 팽오쇼콜라, 초코브리오슈(각 5천원), 아몬드크루아상(6천5백원), 퀸아망(4천5백원), 카늘레(4천원)",11:00~19:00 ,1만원 미만,서울특별시 서초구 양재동 80-14 디와이빌딩,"디저트/차/베이커리, 베이커리",restaurant_pics/크레미엘.jpg,37.4758044816939,127.039151097456,
수퍼판,https://www.instagram.com/superpan_seoul,02-515-3848,"런치세트(5만2천원), 디너세트(14만원), 서리태마스카르포네치즈(2만원), 함박스테이크(3만원), 한우불고기(4만3천원)",12:00~14:30/17:30~22:00(마지막 주문 21:15) ,5~10만원대,서울특별시 강남구 신사동 570-3,"한식(일반한식), 퓨전한식",restaurant_pics/수퍼판.jpg,37.5244390021596,127.026839035907,
코너스톤,,02-2016-1220,"위켄드브런치(14만원), 시그니처세트(14만원대), 콰트로세트(6만9천원~8만9천원), 디저트(1만2천원), 단품디너(1만6천원)",06:30~10:00/11:30~14:30/18:00~22:00(마지막 주문 21:00) ,10~15만원대,서울특별시 강남구 대치동 995-14 호텔아이파크(주),"이탈리아식, 기타, 그릴, 스테이크",restaurant_pics/코너스톤.jpg,37.508579,127.064168,
백곰막걸리&양조장,,010-6822-7644 ,"가오리찜(2만8천원), 오징어김치전(2만4천원), 목살수육(300g 3만6천원), 달고기소금구이(2만8천원), 활낙지매콤볶음(3만3천원), 갑오징어숙회(3만6천원)","17:30~23:30 | 금, 토요일 17:30~01:00(익일) ",2~5만원대,서울특별시 강남구 신사동 657-7,"바/주점, 한식주점, 막걸리전문점",restaurant_pics/백곰막걸리&양조장.jpg,37.525897,127.037065,핫플맛집
몽탄,https://www.instagram.com/mongtan_official/,02-794-8592,"우대갈비(280g 3만2천원), 짚불항정살(150g 1만7천원), 양파볶음밥(5천원), 된장찌개, 냉면, 비빔냉면(각 8천원), 온반(1만원)",12:00~22:00(마지막 주문 21:00) ,2~5만원대,서울특별시 용산구 한강로1가 251-1,"한식(육류), 돼지고기구이, 소갈비",restaurant_pics/몽탄.jpg,37.53599611626749,126.97224352471864,핫플맛집
남영돈,https://www.instagram.com/namyeong_don,02-793-3598,"삼겹살(200g 1만7천원), 목살(220g 1만8천원), 가브리살(180g 1만8천원), 항정살(180g 2만원), 잔치국수, 비빔쫄면(각 6천원)","16:00~22:00 | 토, 일요일 12:00~21:00 ",2~5만원대,서울특별시 용산구 남영동 52-2,"한식(육류), 돼지고기구이",restaurant_pics/남영돈.jpg,37.5427493719708,126.973775844291,
미우,https://www.instagram.com/miu_84/,02-544-7775,"우설(100g 3만원), 차돌박이(150g 3만원), 제비추리, 토시살, 안창살(각 150g 6만2천원), 채끝등심, 꽃등심(150g 5만2천원), 얼큰냄비라면, 차돌된장찌개(8천원)",17:00~21:00 ,10~15만원대,서울특별시 강남구 압구정동 415 미성상가,"한식(육류), 소고기구이",restaurant_pics/미우.jpg,37.5247411726121,127.019644043561,핫플맛집
르빵,https://www.instagram.com/lepain_seoul,02-420-7004,"공주통밤식빵(6천6백원), 1등바게트(4천5백원), 소금빵(3천9백원), 명란바게트(5천5백원), 크루아상(4천2백원), 탕후루크루아상(3천원), 팽스위스(4천8백원), 통딸기케이크(5만5천원)",09:00~20:50,1만원 미만,서울특별시 송파구 송파동 22 향나무빌딩,"디저트/차/베이커리, 케이크, 베이커리",restaurant_pics/르빵.jpg,37.5072078494456,127.10818286753651,송리단길
