restaurant_name,address,number,price_range,restaurant_image1,latitude,longitude
데시데,서울특별시 종로구 삼청로 22-31 1F,02-733-9092,만원 미만,/upload/restaurant_pics/데시데.jpg,37.5778398,126.9805149
호라파,서울특별시 종로구 자하문로 37-1 2F,0507-1414-0216,만원-2만원,/upload/restaurant_pics/호라파.jpg,37.5793866,126.971106
우육면관(광화문점),서울특별시 종로구 종로7길 29-14,070-7543-4830,만원-2만원,/upload/restaurant_pics/우육면관(광화문점).jpg,37.5720515,126.9812496
효제루,서울특별시 종로구 대학로 18 1F,02-6448-0772,만원-2만원,/upload/restaurant_pics/효제루.jpg,37.5726831,127.0022101
모던샤브하우스(광화문D타워점),서울특별시 종로구 종로3길 17 D타워 리플레이스 광화문 5F,02-2251-8501,4만원 이상,/upload/restaurant_pics/모던샤브하우스(광화문D타워점).jpg,37.5710725,126.9789282
만가타,서울특별시 종로구 삼청로2길 40-5,02-722-8151,4만원 이상,/upload/restaurant_pics/만가타.jpg,37.5801885,126.9809666
호반,서울특별시 종로구 삼일대로26길 20,02-745-6618,2만원-3만원,/upload/restaurant_pics/호반.jpg,37.573307,126.9891526
BARCHAM,서울특별시 종로구 자하문로7길 34,02-6402-4750,2만원-3만원,/upload/restaurant_pics/BARCHAM.jpg,37.5791827,126.9703864
일월카츠,서울특별시 종로구 계동길 17 1F,02-743-7638,만원-2만원,/upload/restaurant_pics/일월카츠.jpg,37.5781,126.9865895
부촌육회(별관),서울특별시 종로구 종로 200 1F,02-2272-1831,만원-2만원,/upload/restaurant_pics/부촌육회(별관).jpg,37.57068917,126.99983723
팔마,서울특별시 종로구 자하문로5길 39 1F,0507-1381-0189,만원 미만,/upload/restaurant_pics/팔마.jpg,37.577718,126.9696667
부촌육회,서울특별시 종로구 종로 200-12,02-2267-1831,만원-2만원,/upload/restaurant_pics/부촌육회.jpg,37.57037735,126.9999313
우육면관(청계천점),서울특별시 종로구 청계천로 75-2,070-4213-5678,만원 미만,/upload/restaurant_pics/우육면관(청계천점).jpg,37.5685552,126.986183
광장시장찹쌀꽈배기,서울특별시 종로구 종로32길 2 105호,010-8917-4547,만원 미만,/upload/restaurant_pics/광장시장찹쌀꽈배기.jpg,37.5706135,127.0004199
밀림,서울특별시 종로구 창신6나길 17-6,070-4120-2005,만원-2만원,/upload/restaurant_pics/밀림.jpg,37.5759611,127.0116665
스시소라(광화문점),서울특별시 종로구 종로 19 르메이에르종로타운 B동 B116 B-1호,02-733-8400,4만원 이상,/upload/restaurant_pics/스시소라(광화문점).jpg,37.570464,126.9798499
오죽이네,서울특별시 종로구 돈화문로11가길 25,02-741-8874,만원-2만원,/upload/restaurant_pics/오죽이네.jpg,37.5737826,126.9908221
물랑,서울특별시 종로구 자하문로16길 8 1F,070-4404-7978,4만원 이상,/upload/restaurant_pics/물랑.jpg,37.5814729,126.9718943
백부장집닭한마리(본점),서울특별시 종로구 삼봉로 100-1,02-732-2565,만원-2만원,/upload/restaurant_pics/백부장집닭한마리(본점).jpg,37.57178116,126.98267365
오레노라멘(인사점),서울특별시 종로구 율곡로 49-4 1F,02-722-3539,만원 미만,/upload/restaurant_pics/오레노라멘(인사점).jpg,37.5765297,126.9845721
키즈나,서울특별시 종로구 율곡로1길 78,02-722-0411,4만원 이상,/upload/restaurant_pics/키즈나.jpg,37.5788051,126.981639
톤티커피,서울특별시 종로구 북촌로 6-8,070-8872-1316,만원 미만,/upload/restaurant_pics/톤티커피.jpg,37.577643,126.9863046
포비브라이트(광화문점),서울특별시 종로구 새문안로 76 콘코디언빌딩 1F,02-6744-0120,만원 미만,/upload/restaurant_pics/포비브라이트(광화문점).jpg,37.5697309,126.9731483
아키비스트,서울특별시 종로구 효자로13길 52 1F,02-738-1517,만원 미만,/upload/restaurant_pics/아키비스트.jpg,37.5822185,126.9726787
혜화도담,서울특별시 종로구 대명1길 16-6,02-744-9850,만원 미만,/upload/restaurant_pics/혜화도담.jpg,37.5830363,127.0004462
장수한방삼계탕,서울특별시 종로구 새문안로5길 13 B1,02-725-3260,만원-2만원,/upload/restaurant_pics/장수한방삼계탕.jpg,37.5712912,126.9743059
도취,서울특별시 종로구 옥인길 23-6 누상빌라 B1,02-723-1288,2만원-3만원,/upload/restaurant_pics/도취.jpg,37.5808659,126.967092
부빙,서울특별시 종로구 창의문로 136,02-394-8288,만원 미만,/upload/restaurant_pics/부빙.jpg,37.5927642,126.9654015
공기식당,서울특별시 종로구 필운대로6길 20-1 1F,010-4750-0930,만원-2만원,/upload/restaurant_pics/공기식당.jpg,37.580294,126.969504
독일주택,서울특별시 종로구 대명1길 16-4,02-742-1933,만원-2만원,/upload/restaurant_pics/독일주택.jpg,37.5829913,127.0005725
육회자매집(2호점),서울특별시 종로구 종로 200-4 제우빌딩,02-2272-3069,2만원-3만원,/upload/restaurant_pics/육회자매집(2호점).jpg,37.5705775,126.9998907
찰스에이치(포시즌스호텔서울),서울특별시 종로구 새문안로 97 포시즌스호텔 서울 B1,02-6388-5500,3만원-4만원,/upload/restaurant_pics/찰스에이치(포시즌스호텔서울).jpg,37.5707762,126.9754223
김진목삼,서울특별시 종로구 자하문로1길 51 1F,02-929-2929,만원-2만원,/upload/restaurant_pics/김진목삼.jpg,37.57688106,126.9695971
후니도니,서울특별시 종로구 종로 19 르메이에르종로타운 B1,02-722-5402,만원-2만원,/upload/restaurant_pics/후니도니.jpg,37.57111948,126.98009134
버거파크(혜화점),서울특별시 종로구 대학로11길 5 1F,02-747-3005,만원-2만원,/upload/restaurant_pics/버거파크(혜화점).jpg,37.5821694,127.0013798
스쿠퍼,서울특별시 종로구 자하문로7길 10 1F,0507-1333-7623,만원 미만,/upload/restaurant_pics/스쿠퍼.jpg,37.5784034,126.9712341
어쩌다산책,서울특별시 종로구 동숭길 101 B1,02-747-7147,만원 미만,/upload/restaurant_pics/어쩌다산책.jpg,37.5824625,127.0040379
도마유즈라멘(안국점),서울특별시 종로구 북촌로2길 14,070-8838-0365,만원-2만원,/upload/restaurant_pics/도마유즈라멘(안국점).jpg,37.57781,126.986455
수도원,서울특별시 종로구 동숭3길 16 B1,02-747-1933,만원-2만원,/upload/restaurant_pics/수도원.jpg,37.5817411,127.00477307
개성철렵,서울특별시 종로구 삼청로 124-2 RH타운 1F,02-722-1242,만원-2만원,/upload/restaurant_pics/개성철렵.jpg,37.5863326,126.9819705
중국(본점),서울특별시 종로구 자하문로33길 2,02-737-8055,만원 미만,/upload/restaurant_pics/중국(본점).jpg,37.5861958,126.9697166
김진목삼(2호점),서울특별시 종로구 자하문로1가길 9,02-6497-2929,만원-2만원,/upload/restaurant_pics/김진목삼(2호점).jpg,37.5769463,126.9719828
뼈탄집,서울특별시 종로구 자하문로1길 13,02-737-9966,만원-2만원,/upload/restaurant_pics/뼈탄집.jpg,37.5764203,126.9716761
고량주관,서울특별시 종로구 청계천로 77-3,070-8860-9007,만원-2만원,/upload/restaurant_pics/고량주관.jpg,37.5685912,126.9861426
다차공간,서울특별시 종로구 인사동길 50 4F,0507-1479-7890,4만원 이상,/upload/restaurant_pics/다차공간.jpg,37.5745589,126.9844631
라멘시미즈,서울특별시 종로구 새문안로3길 12 신문로빌딩 B1 37호,라멘 / 소바 / 우동,식당 홈페이지로 가기,/upload/restaurant_pics/라멘시미즈.jpg,37.5713399,126.9729599
경성상회,서울특별시 종로구 자하문로1길 13-1,02-720-1588,2만원-3만원,/upload/restaurant_pics/경성상회.jpg,37.5764075,126.9715855
깡통만두,서울특별시 종로구 북촌로2길 5-6 1F,02-794-4243,만원 미만,/upload/restaurant_pics/깡통만두.jpg,37.5781537,126.9860849
소금집델리(안국),서울특별시 종로구 북촌로4길 19 1F,02-766-2617,만원-2만원,/upload/restaurant_pics/소금집델리(안국).jpg,37.5794433,126.9862554
Osso파스타,서울특별시 종로구 낙산길 21,010-2817-9935,만원-2만원,/upload/restaurant_pics/Osso파스타.jpg,37.5805485,127.0057315
깔리,서울특별시 종로구 대학로11길 43 명륜4가 171번지,02-747-5050,만원-2만원,/upload/restaurant_pics/깔리.jpg,37.58248064,126.99927768
칸다소바(경복궁점),서울특별시 종로구 자하문로7길 5 1F,02-6405-1662,만원 미만,/upload/restaurant_pics/칸다소바(경복궁점).jpg,37.5781969,126.9712467
포비(Gwanghwamun),서울특별시 종로구 종로3길 17 디타워 1F 21호,02-2251-8125,만원 미만,/upload/restaurant_pics/포비(Gwanghwamun).jpg,37.571113,126.97912725
서촌계단집,서울특별시 종로구 자하문로1길 15,02-737-8412,만원-2만원,/upload/restaurant_pics/서촌계단집.jpg,37.57643124,126.9714792
핏제리아오(본점),서울특별시 종로구 동숭길 86 2 3F,02-3673-5005,만원-2만원,/upload/restaurant_pics/핏제리아오(본점).jpg,37.5820958,127.0043262
비엘티스테이크(JW메리어트호텔동대문),서울특별시 종로구 청계천로 279 JW메리어트 호텔 동대문 스퀘어 서울 2F,02-2276-3330,4만원 이상,/upload/restaurant_pics/비엘티스테이크(JW메리어트호텔동대문).jpg,37.57006118,127.0087451
파네트크루아상팩토리(광화문점),서울특별시 종로구 사직로8길 24 경희궁의아침 1F,02-720-5570,만원 미만,/upload/restaurant_pics/파네트크루아상팩토리(광화문점).jpg,37.57422846,126.97117664
호가양꼬치(직영5호점),서울특별시 종로구 율곡로4길 66,02-736-7277,2만원-3만원,/upload/restaurant_pics/호가양꼬치(직영5호점).jpg,37.5728657,126.9807662
논데,서울특별시 종로구 종로18길 37  하이뷰디아트 2F,02-6082-2081,3만원-4만원,/upload/restaurant_pics/논데.jpg,37.568671,126.9915039
아키라백(포시즌스호텔서울),서울특별시 종로구 새문안로 97 포시즌스호텔 서울 12F,02-6388-5500,4만원 이상,/upload/restaurant_pics/아키라백(포시즌스호텔서울).jpg,37.5707762,126.9754223
창신육회,서울특별시 종로구 종로 198-2,02-2266-6727,만원-2만원,/upload/restaurant_pics/창신육회.jpg,37.5704754,126.9998481
평안도만두집,서울특별시 종로구 새문안로3길 30 대우복합빌딩 B1,02-723-6592,만원-2만원,/upload/restaurant_pics/평안도만두집.jpg,37.57266023,126.97299722
광화문뚝감,서울특별시 종로구 새문안로3길 21,02-722-5894,만원-2만원,/upload/restaurant_pics/광화문뚝감.jpg,37.5721244,126.972573
다운타우너(안국점),서울특별시 종로구 북촌로 6-4 1F,070-8870-3696,만원 미만,/upload/restaurant_pics/다운타우너(안국점).jpg,37.5774622,126.986246
델픽,서울특별시 종로구 계동길 84-3,02-742-9147,만원 미만,/upload/restaurant_pics/델픽.jpg,37.5812197,126.9869536
통의동국빈관,서울특별시 종로구 자하문로2길 17-4 1F,02-722-3833,2만원-3만원,/upload/restaurant_pics/통의동국빈관.jpg,37.5766155,126.9738782
